marianne williams park,-116.123343 43.567581|-116.142654 43.574017|-116.151581 43.577282|-116.151237 43.577282|-116.143556 43.573458
hyde park,-116.194031 43.626855|-116.2052 43.6322|-116.20442 43.629506|-116.218329 43.637601|-116.203079 43.632363|-116.205273 43.639746|-116.199764 43.628939|-116.210439 43.633171|-116.207188 43.634156|-116.190569 43.632845|-116.209568 43.635516|-116.199902 43.62584|-116.21331 43.633772|-116.188896 43.632596|-116.199689 43.630671|-116.204582 43.628396|-116.205365 43.639823|-116.203347 43.632887|-116.198754 43.623048|-116.20574 43.623526|-116.1987 43.631068|-116.201569 43.615795|-116.205807 43.631106|-116.205169 43.628565|-116.202521 43.625172|-116.206302 43.62388|-116.199195 43.622485|-116.198616 43.635283|-116.197622 43.632818|-116.213314 43.631187|-116.203492 43.636668|-116.198852 43.631323|-116.205783 43.627689|-116.198887 43.624842|-116.197929 43.631711|-116.195204 43.627666|-116.194035 43.624837|-116.199264 43.624933
esther simplot park,-116.228278 43.630913|-116.228972 43.626291|-116.235523 43.624023|-116.222464 43.62273|-116.216947 43.62274
federal way,-116.226597 43.608239|-116.208612 43.593007|-116.150272 43.555173|-116.20872 43.593497|-116.156603 43.561229
the majestic theater,-116.36249 43.597246|-116.360643 43.585955|-116.360235 43.586157|-116.360815 43.584712
nnu,-116.5608 43.570628|-116.558574 43.561295|-116.590734 43.578494|-116.584854 43.531936|-116.575906 43.551954|-116.572751 43.560378|-116.573439 43.568079|-116.5848 43.5834|-116.56149 43.563232|-116.561491 43.563275|-116.569609 43.542082|-116.565006 43.554318|-116.564335 43.559377|-116.567388 43.558692|-116.57198 43.561859|-116.587944 43.566959
meridian school district,-116.42493 43.61332|-116.409289 43.645211|-116.395936 43.61673|-116.409384 43.62141|-116.379236 43.574359
meridian middle school,-116.4306 43.6498|-116.388613 43.626306|-116.395936 43.61673|-116.406562 43.623287|-116.409384 43.62141
park center,-116.181124 43.58612|-116.18974 43.598843|-116.182202 43.595807|-116.189713 43.59833|-116.183783 43.586705|-116.175656 43.586235
boise north end,-116.194031 43.626855|-116.219825 43.631045|-116.224539 43.640843|-116.199689 43.630671
north end boise,-116.203079 43.632363|-116.222928 43.633916|-116.2524 43.6601|-116.223331 43.630098|-116.197568 43.623049
barber station,-116.142654 43.574017|-116.143631 43.573092|-116.151581 43.577282|-116.151237 43.577282|-116.291902 43.615868|-116.143556 43.573458
cherry lane,-116.42493 43.61332|-116.4306 43.6498|-116.392336 43.625607|-116.393127 43.626411|-116.443899 43.620404|-116.406562 43.623287
street south,-116.555431 43.574449|-116.554213 43.57495|-116.554084 43.574966|-116.547157 43.568803
borah high school,-116.266851 43.570799|-116.253547 43.595695|-116.30199 43.585367|-116.2191 43.5851
green belt,-116.333705 43.624918|-116.223807 43.606577|-116.218998 43.60482|-116.136732 43.561225|-116.15983 43.575094|-116.212702 43.609176|-116.262045 43.645439|-116.193605 43.597141|-116.295819 43.66011|-116.183231 43.582182|-116.141017 43.552006|-116.2191 43.5851|-116.216947 43.62274|-116.185566 43.603481|-116.287344 43.65902|-116.195354 43.568576|-116.175656 43.586235
the north end,-116.199902 43.62584|-116.2524 43.6601|-116.2052 43.6322|-116.222928 43.633916|-116.219729 43.62065|-116.227028 43.636482
elm grove park,-116.218598 43.636434|-116.219825 43.631045|-116.218078 43.630562|-116.221855 43.634786|-116.22063 43.63042
ada,-116.2191 43.5851|-116.278923 43.56039|-116.360815 43.584712|-116.242769 43.63142|-116.2052 43.6322|-116.334244 43.55569|-116.2951 43.633
bogus basin,-116.205273 43.639746|-116.2052 43.6322|-116.21331 43.633772|-116.191779 43.624651|-116.201569 43.615795
settlers park,-116.401176 43.62972|-116.406723 43.640183|-116.4306 43.6498|-116.405189 43.643746
west ada school,-116.310196 43.649763|-116.396917 43.646026|-116.3419 43.634|-116.395936 43.61673|-116.409384 43.62141
the boise river,-116.257261 43.650733|-116.188793 43.60271|-116.2052 43.6322|-116.148602 43.580829|-116.262973 43.645834|-116.291721 43.659319|-116.2524 43.6601|-116.262045 43.645439|-116.191 43.5885|-116.205525 43.613957|-116.212702 43.609176|-116.205869 43.614205|-116.218352 43.623641|-116.214011 43.625336|-116.281378 43.664705|-116.295819 43.66011|-116.186912 43.604122|-116.175034 43.605287|-116.288571 43.665497|-116.143041 43.542949|-116.227361 43.628198|-116.1649 43.6023|-116.229258 43.627067|-116.177193 43.612894|-116.264851 43.647291
mcmillan,-116.304174 43.648491|-116.35148 43.645485|-116.359985 43.652979|-116.405189 43.643746
columbia village,-116.133451 43.551263|-116.138223 43.554864|-115.9711 43.5345|-116.145 43.550957|-116.140163 43.553379|-116.542186 43.542374|-116.141017 43.552006|-116.61 43.525|-116.127766 43.545863
meridian middle,-116.42493 43.61332|-116.424246 43.610473|-116.395936 43.61673|-116.409384 43.62141
parklane,-116.176409 43.612537|-116.205273 43.639746|-116.205191 43.641752|-116.2052 43.6322
robert lane,-116.557946 43.591177|-116.313801 43.622501|-116.2191 43.5851|-116.211598 43.576367
mcmillan rd,-116.3975 43.615|-116.4306 43.6498|-116.361662 43.654283|-116.36236 43.651805
garden city,-116.2797 43.7318|-116.29289 43.656139|-116.249278 43.627747|-116.262973 43.645834|-116.286161 43.65808|-116.242769 43.63142|-116.291506 43.686184|-116.283078 43.659661
milwaukee park,-116.2951 43.633|-116.286764 43.629288|-116.287558 43.63168|-116.282505 43.629878|-116.280112 43.622407
central bench,-116.24666 43.609436|-116.226647 43.600694|-116.268271 43.59201|-116.228541 43.594155
gramercy,-116.36249 43.597246|-116.360643 43.585955|-116.360235 43.586157|-116.3975 43.615|-116.360815 43.584712
the boise bench,-116.246091 43.597133|-116.243594 43.582547|-116.221108 43.582536|-116.25999 43.620013|-116.226103 43.58782|-116.237158 43.600056|-116.232345 43.584878|-116.238441 43.606126|-116.221108 43.5825|-116.246982 43.601776
west hale,-116.184961 43.595615|-116.226647 43.600694|-116.599188 43.548501|-116.301945 43.585366
foothills,-116.176409 43.612537|-116.21452 43.644234|-116.190569 43.632845|-116.205676 43.61419|-116.202135 43.616038|-116.201867 43.615914|-116.159479 43.610752|-116.185772 43.62542
the river district,-116.338177 43.686401|-116.337372 43.686639|-116.362 43.7069|-116.337812 43.687286|-116.337662 43.686887
chinden,-116.298995 43.657549|-116.4306 43.6498|-116.370449 43.656819|-116.332816 43.655468|-116.415896 43.705577
vista,-116.214844 43.595911|-116.2191 43.5851|-116.217335 43.577172|-116.213656 43.586242|-116.20986 43.58266|-116.208612 43.593007|-116.219977 43.597096|-116.226103 43.58782|-116.21097 43.5951|-116.214918 43.587115|-116.211598 43.576367|-116.213699 43.590054|-116.226211 43.580173|-116.214482 43.604378
bench,-116.24666 43.609436|-116.2191 43.5851|-116.231918 43.5968|-116.226597 43.608239|-116.221108 43.582536|-116.270357 43.593675|-116.217378 43.588589|-116.243471 43.596227|-116.233403 43.6143|-116.256895 43.586624|-116.221108 43.5825|-116.228541 43.594155|-116.252367 43.601047|-116.246982 43.601776
camelsback park,-116.20442 43.629506|-116.2052 43.6322|-116.190569 43.632845|-116.195204 43.627666
parkcenter blvd,-116.1975 43.59399|-116.153834 43.575098|-116.17733 43.585738|-116.180849 43.595187
north jr high,-116.2052 43.6322|-116.199689 43.630671|-116.205365 43.639823|-116.198616 43.635283
hill road,-116.2524 43.6601|-116.266637 43.67453|-116.2797 43.7318|-116.268933 43.670169
whitewater park,-116.333705 43.624918|-116.223035 43.642473|-116.223914 43.628059|-116.21686 43.641667|-116.240019 43.636584|-116.2797 43.7318|-116.222464 43.62273|-116.239826 43.636831|-116.219065 43.624675
camels back park,-116.203079 43.632363|-116.188896 43.632596|-116.203492 43.636668|-116.205783 43.627689|-116.197929 43.631711
boise river greenbelt,-116.333705 43.624918|-116.176424 43.593172|-116.123343 43.567581|-116.205654 43.614112|-116.282915 43.660368|-116.295637 43.659947|-116.288197 43.663916|-116.149311 43.58842|-116.212702 43.609176|-116.151581 43.577282|-116.2797 43.7318|-116.151237 43.577282|-116.207778 43.611452
east boise,-116.184626 43.604961|-116.191 43.5885|-116.165494 43.59862|-116.186912 43.604122|-116.214918 43.587115|-116.188532 43.586122|-116.1649 43.6023|-116.175656 43.586235
beacon,-116.191 43.5885|-116.198597 43.598416|-116.202929 43.597549|-116.202114 43.597658|-116.199207 43.598415|-116.189713 43.59833|-116.197243 43.595063
sawtooth middle school,-116.4306 43.6498|-116.40565 43.636122|-116.403751 43.638436|-116.405189 43.643746
idaho st,-116.351264 43.694946|-116.202135 43.616038|-116.201867 43.615914|-116.222464 43.62273|-116.664569 43.654102
brighton,-116.142654 43.574017|-116.143631 43.573092|-116.362 43.7069|-116.143556 43.573458
bown crossing,-116.162942 43.571802|-116.136732 43.561225|-116.142654 43.574017|-116.143631 43.573092|-116.15983 43.575094|-116.191 43.5885|-116.16364 43.575043|-116.136335 43.562287|-116.166515 43.566524|-116.180849 43.595187|-116.135294 43.562186|-116.162821 43.574101|-116.143556 43.573458|-116.163469 43.573746|-116.159825 43.575006
meridian village,-116.306012 43.639616|-116.360879 43.585303|-116.348133 43.613708|-116.347267 43.616129|-116.3419 43.634
back park,-116.2052 43.6322|-116.210439 43.633171|-116.209568 43.635516|-116.199902 43.62584|-116.199689 43.630671|-116.194031 43.625731|-116.191779 43.624651|-116.198616 43.635283
rose hill st,-116.4306 43.6498|-116.230309 43.600688|-116.191053 43.587668|-116.291902 43.615868
ann morrison park,-116.223807 43.606577|-116.212732 43.60903|-116.212702 43.609176|-116.214355 43.608314|-116.21398 43.60897|-116.213538 43.603312|-116.211903 43.606549
aspen,-116.191 43.5885|-116.205525 43.613957|-116.205551 43.614403|-116.205933 43.614283|-116.308706 43.680756
glenwood,-116.291227 43.67737|-116.2524 43.6601|-116.284595 43.677698|-116.274662 43.670727|-116.26874 43.66992
state st,-116.228278 43.630913|-116.343585 43.694236|-116.425813 43.692089|-116.2797 43.7318|-116.362 43.7069|-116.348262 43.694237|-116.349614 43.69433|-116.22825 43.635609|-116.224552 43.634714|-116.216742 43.627414|-116.415896 43.705577
east end,-116.185566 43.603481|-116.180192 43.609299|-116.177287 43.60782|-116.159479 43.610752|-116.178252 43.606288|-116.171184 43.602258
curtis,-116.263096 43.617794|-116.268497 43.615177|-116.258639 43.615733|-116.250275 43.602285|-116.249776 43.621853
fruitland,-116.93353 44.079536|-116.933532 44.079387|-116.996387 43.877929|-116.9143 44.0027|-116.9238 44.033802|-116.7 43.6627|-116.913573 44.02547|-116.945283 44.019974|-117.009373 44.037751|-116.704425 44.07776|-116.916544 44.008834
meridian,-116.511769 43.590525|-116.343071 43.61437|-116.409073 43.591084|-116.4306 43.6498|-116.348476 43.629801|-116.45168 43.613025|-116.396896 43.646153|-116.424003 43.610006|-116.346499 43.66134|-116.342018 43.6154|-116.370449 43.656819|-116.42493 43.61332|-116.360879 43.585303|-116.347267 43.616129|-116.398886 43.626957|-116.406723 43.640183|-116.455881 43.63186|-116.409309 43.600237|-116.331258 43.624536|-116.3819 43.487|-116.371822 43.590291|-116.384891 43.610964|-116.291227 43.67737|-116.362102 43.585287|-116.36249 43.597246|-116.404427 43.487871|-116.360643 43.585955|-116.360235 43.586157|-116.412678 43.660669|-116.392422 43.62452|-116.278923 43.56039|-116.334449 43.619439|-116.3975 43.615|-116.392336 43.625607|-116.326354 43.627518|-116.365471 43.577127|-116.29136 43.594898|-116.393127 43.626411|-116.424246 43.610473|-116.407871 43.632845|-116.295637 43.659947|-116.360815 43.584712|-116.397185 43.574002|-116.349421 43.61377|-116.205551 43.614403|-116.326418 43.547335|-116.358055 43.631447|-116.372938 43.60364|-116.396917 43.646026|-116.374469 43.561193|-116.3419 43.634|-116.295545 43.623304|-116.33109 43.613897|-116.384847 43.623759|-116.382031 43.587544|-116.242769 43.63142|-116.410604 43.594338|-116.431732 43.614267|-116.357317 43.581254|-116.330258 43.619936|-116.367283 43.598908|-116.385011 43.629054|-116.2797 43.7318|-116.450518 43.625373|-116.327737 43.638502|-116.377489 43.633787|-116.388613 43.626306|-116.386757 43.615464|-116.395586 43.570628|-116.2052 43.6322|-116.448011 43.617543|-116.419158 43.612201|-116.414083 43.627013|-116.414587 43.528793|-116.290712 43.599725|-116.21097 43.5951|-116.403293 43.611074|-116.408028 43.60422|-116.306205 43.618198|-116.39873 43.645858|-116.401701 43.611053|-116.379204 43.574049|-116.403157 43.610147|-116.5131 43.633963|-116.360664 43.605893|-116.406562 43.623287|-116.402201 43.611054|-116.375685 43.587665|-116.40667 43.638933|-116.390276 43.653839|-116.323133 43.632143|-116.425786 43.626844|-116.413386 43.599523|-116.358604 43.585365|-116.379596 43.627093|-116.377774 43.625653|-116.418192 43.64519|-116.391006 43.654646|-116.403094 43.604656|-116.243471 43.596227|-116.419716 43.65831|-116.2951 43.633|-116.379236 43.574359|-116.274211 43.560787|-116.425589 43.629963|-116.404953 43.620745|-116.429149 43.631553|-116.411304 43.623231|-116.41124 43.6232|-116.403168 43.489571|-116.241682 43.613537|-116.411262 43.623153|-116.401297 43.611052|-116.314573 43.580839|-116.383002 43.651479|-116.32138 43.598542|-116.390215 43.607968|-116.2941 43.5741|-116.292515 43.591582
payette,-116.93353 44.079536|-116.933532 44.079387|-116.9188 44.077489|-116.922948 44.074856|-116.93367 44.087893|-116.909784 44.131132|-116.931374 44.073758|-116.945283 44.019974|-117.009373 44.037751|-116.930634 44.067514|-116.934296 44.084646|-116.929713 44.08626
fairview,-116.2951 43.633|-116.4306 43.6498|-116.307557 43.61506|-116.269897 43.614243|-116.258639 43.615733|-116.334449 43.619439|-116.3975 43.615|-116.269534 43.623479|-116.253454 43.61904|-116.312239 43.616418|-116.3419 43.634|-116.297189 43.626215|-116.279941 43.622532|-116.314306 43.619479|-116.315882 43.618617|-116.261152 43.619177|-116.2941 43.5741|-116.259937 43.625252|-116.309242 43.619448|-116.299164 43.62926|-116.306205 43.618198|-116.318457 43.613752|-116.314935 43.626085|-116.406562 43.623287|-116.381158 43.621096|-116.382748 43.615991|-116.264484 43.620985|-116.249776 43.621853|-116.280112 43.622407|-116.292515 43.591582
pierce park,-116.26849 43.66988|-116.266637 43.67453|-116.267924 43.648738|-116.268139 43.665512
municipal park,-116.184626 43.604961|-116.188223 43.606452|-116.184503 43.604712|-116.18969 43.607074|-116.188754 43.606702|-116.180549 43.604293|-116.185566 43.603481
